,original,filenames,spec,concept,adj,syn_chosen_spec,syn_chosen_concept
office,office,"['office1.jpg', 'office2.jpg', 'office3.jpg', 'office4.jpg']",,office,indoor,,office.n.01
olympic_swimming+pool,olympicswimmingpool,"['olympicswimmingpool.jpg', 'olympicswimmingpool5.jpg', 'olympicswimmingpool7.jpg', 'olympicswimmingpool8.jpg']",olympic,swimming_pool,,,swimming_pool.n.01
operating_room,operatingroom,"['operatingroom1.jpg', 'operatingroom3.jpg', 'operatingroom4.jpg', 'operatingroom5.jpg']",,operating_room,,,operating_room.n.01
pantry,pantry,"['pantry2.jpg', 'pantry5.jpg', 'pantry6.jpg', 'pantry8.jpg']",,pantry,,,pantry.n.01
park,park,"['park.jpg', 'park2.jpg', 'park7.jpg', 'park8.jpg']",,park,outdoor,,park.n.02
parking_indoor,parkinggarage,"['parkinggarage.jpg', 'parkinggarage2.jpg', 'parkinggarage3.jpg', 'parkinggarage4.jpg']",,parking,,,parking.n.01
parking_lot,parkinglot,"['parkinglot.jpg', 'parkinglot2.jpg', 'parkinglot3.jpg', 'parkinglot8.jpg']",,parking_lot,,,parking_lot.n.01
pasture,pasture,"['pasture.jpg', 'pasture3.jpg', 'pasture8.jpg', 'pasture9.jpg']",,pasture,outdoor,,pasture.n.01
pavilion,pavilion,"['pavilion.jpg', 'pavilion2.jpg', 'pavilion3.jpg', 'pavilion5.jpg']",,pavilion,,,pavilion.n.01
pharmacy,pharmacy,"['pharmacy.jpg', 'pharmacy2.jpg', 'pharmacy4.jpg', 'pharmacy6.jpg']",,pharmacy,indoor,,drugstore.n.01
photographer_studio,photographer_studio,"['photographer_studio1.jpg', 'photographer_studio2.jpg', 'photographer_studio3.jpg', 'photographer_studio4.jpg']",photographer,studio,,,studio.n.01
pier,pier,"['pier.jpg', 'pier2.jpg', 'pier3.jpg', 'pier5.jpg']",,pier,outdoor,,pier.n.01
pizzeria,pizzeria,"['pizzeria1.jpg', 'pizzeria2.jpg', 'pizzeria3.jpg', 'pizzeria4.jpg']",,pizzeria,,,pizzeria.n.01
planetarium,planetarium,"['planetarium1.jpg', 'planetarium2.jpg', 'planetarium3.jpg', 'planetarium4.jpg']",,planetarium,indoor,,planetarium.n.01
playground,playground,"['playground10.jpg', 'playground6.jpg', 'playground7.jpg', 'playground9.jpg']",,playground,outdoor,,playground.n.02
playroom,playroom,"['playroom2.jpg', 'playroom3.jpeg', 'playroom4.jpg', 'playroom6.jpg']",,playroom,,,rumpus_room.n.01
pond,pond,"['pond1.jpg', 'pond2.jpg', 'pond3.jpg', 'pond4.jpg']",,pond,,,pond.n.01
pool_hall_indoor,poolhall,"['poolhall1.jpg', 'poolhall2.jpeg', 'poolhall4.jpg', 'poolhall5.jpg']",pool,hall,,,hall.n.03
porch,porch,"['porch.jpg', 'porch2.jpg', 'porch3.jpeg', 'porch8.jpg']",,porch,,,porch.n.01
post_office,postoffice,"['postoffice1.jpg', 'postoffice2.jpg', 'postoffice3.jpg', 'postoffice4.jpg']",,post_office,indoor,,post_office.n.01
promenade_deck,promenadeDeck,"['promenadeDeck.jpg', 'promenadeDeck2.jpg', 'promenadeDeck3.jpg', 'promenadeDeck6.jpg']",,promenade_deck,,,hurricane_deck.n.01
pub,pub,"['pub1.jpg', 'pub2.jpg', 'pub5.jpg', 'pub6.jpg', 'publicrestroom1.jpg', 'publicrestroom2.jpg', 'publicrestroom4.jpg', 'publicrestroom5.jpg']",,pub,,,public_house.n.01
rainforest,rainforest,"['rainforest.jpg', 'rainforest2.jpg', 'rainforest5.jpg', 'rainforest6.jpg']",,rainforest,,,rain_forest.n.01
rapids_outdoor,whitewaterrapids,"['whitewaterrapids.jpg', 'whitewaterrapids2.jpg', 'whitewaterrapids3.jpg', 'whitewaterrapids5.jpg']",,rapids,,,rapid.n.01
reading_room,readingroom,"['readingroom1.jpg', 'readingroom2.jpg', 'readingroom4.jpg', 'readingroom5.jpg']",,reading_room,,,reading_room.n.01
recording_studio,recordingstudio,"['recordingstudio1.jpg', 'recordingstudio2.jpg', 'recordingstudio3.jpg', 'recordingstudio4.jpg']",,recording_studio,,,recording_studio.n.01
restaurant,restaurant,"['restaurant11.jpg', 'restaurant13.jpg', 'restaurant14.jpg', 'restaurant8.jpg', 'restaurantkitchen.jpg', 'restaurantkitchen2.jpg', 'restaurantkitchen3.jpg', 'restaurantkitchen5.jpg']",,restaurant,,,restaurant.n.01
restaurant_kitchen_indoor,restaurantkitchen,"['restaurantkitchen.jpg', 'restaurantkitchen2.jpg', 'restaurantkitchen3.jpg', 'restaurantkitchen5.jpg']",restaurant,kitchen,,,kitchen.n.01
restroom,publicrestroom,"['publicrestroom1.jpg', 'publicrestroom2.jpg', 'publicrestroom4.jpg', 'publicrestroom5.jpg']",,restroom,,,public_toilet.n.01
rooftop,rooftop,"['rooftop1.jpg', 'rooftop2.jpg', 'rooftop3.jpg', 'rooftop4.jpg']",,rooftop,,,rooftop.n.01
runway,runway,"['runway1.jpg', 'runway2.jpg', 'runway3.jpg', 'runway4.jpg']",,runway,outdoor,,runway.n.04
rural_road_outdoor,ruralroad,"['ruralroad2.jpg', 'ruralroad3.jpg', 'ruralroad5.jpg', 'ruralroad7.jpg']",rural,road,,,road.n.01
rv_interior,RVinside,"['RVinside1.jpg', 'RVinside2.jpg', 'RVinside4.jpg', 'RVinside5.jpg']",,rv,,,recreational_vehicle.n.01
sandbox,sandbox,"['sandbox.jpg', 'sandbox2.jpg', 'sandbox7.jpg', 'sandbox8.jpg']",,sandbox,outdoor,,sandbox.n.02
savanna,savanna,"['savanna.jpg', 'savanna3.jpg', 'savanna4.jpg', 'savanna5.jpg']",,savanna,,,savanna.n.01
sculpture_garden,sculpturegarden,"['sculpturegarden1.jpg', 'sculpturegarden2.jpg', 'sculpturegarden3.jpg', 'sculpturegarden4.jpg']",sculpture,garden,,,garden.n.01
shoe_store,shoestore,"['shoestore2.jpg', 'shoestore4.jpg', 'shoestore5.jpg', 'shoestore8.jpg']",,shoe_store,,,shoe_shop.n.01
shooting_range,shootingrange,"['shootingrange2.jpg', 'shootingrange5.jpg', 'shootingrange7.jpg', 'shootingrange9.jpg']",,shooting_range,,,shooting_gallery.n.02
shower,shower,"['shower1.jpg', 'shower2.jpg', 'shower3.jpg', 'shower4.jpg']",,shower,indoor,,shower.n.01
showjumping,ShowJumping,"['ShowJumping5.jpg', 'ShowJumping7.jpg', 'ShowJumping8.jpg', 'ShowJumping9.jpg']",,showjumping,,,showjumping.n.01
sidewalk,sidewalk,"['sidewalk1.jpg', 'sidewalk2.jpg', 'sidewalk3.jpg', 'sidewalk5.jpg']",,sidewalk,,,sidewalk.n.01
skate_park,skatepark,"['skatepark.jpg', 'skatepark10.jpg', 'skatepark5.jpg', 'skatepark7.jpg']",skate,park,,,park.n.02
ski_slope,skislope,"['skislope.jpg', 'skislope10.jpg', 'skislope11.jpg', 'skislope7.jpg']",,ski_slope,,,ski_slope.n.01
snow_mountain_outdoor,snowmountains,"['snowmountains2.jpg', 'snowmountains3.jpg', 'snowmountains4.jpg', 'snowmountains5.jpg']",snow,mountain,,,mountain.n.01
soccer_field,soccerfield,"['soccerfield.jpg', 'soccerfield2.jpg', 'soccerfield3.jpg', 'soccerfield4.jpg']",soccer,field,,,playing_field.n.02
spa_room_indoor,sparoom,"['sparoom.jpg', 'sparoom6.jpg', 'sparoom7.jpg', 'sparoom8.jpg']",spa,room,,,room.n.01
squash_court,squashcourt,"['squashcourt.jpg', 'squashcourt4.jpg', 'squashcourt7.jpg', 'squashcourt8.jpg']",,squash_court,,,squash_court.n.01
staircase,staircase,"['staircase.jpg', 'staircase4.jpg', 'staircase6.jpg', 'staircase7.jpg']",,staircase,,,stairway.n.01
stream_outdoor,stream_outdoor,"['stream_outdoor10.jpg', 'stream_outdoor5.jpg', 'stream_outdoor8.jpg', 'stream_outdoor9.jpg']",,stream,,,stream.n.01
strip_mall,stripmall,"['stripmall.jpg', 'stripmall3.jpg', 'stripmall5.jpg', 'stripmall6.jpg']",,strip_mall,,,strip_mall.n.01
sushi_bar,sushibar,"['sushibar.jpg', 'sushibar10.jpg', 'sushibar5.jpg', 'sushibar8.jpg']",,sushi_bar,,,sushi_bar.n.01
swimming_pool,swimmingpool,"['swimmingpool1.jpg', 'swimmingpool2.jpg', 'swimmingpool3.jpg', 'swimmingpool4.jpg']",,swimming_pool,,,swimming_pool.n.01
tailor,tailor,"['tailor.jpg', 'tailor2.jpg', 'tailor5.jpg', 'tailor6.jpg']",,tailor,,,tailor.n.01
tennis_court,tenniscourt,"['tenniscourt.jpg', 'tenniscourt2.jpg', 'tenniscourt3.jpg', 'tenniscourt5.jpg']",,tennis_court,,,tennis_court.n.01
theater,theater,"['theater1.jpg', 'theater2.jpg', 'theater3.jpg', 'theater5.jpg']",,theater,indoor,,theater.n.01
ticket_office,ticket_counter,"['ticket_counter2.jpg', 'ticket_counter5.jpg', 'ticket_counter6.jpg', 'ticket_counter7.jpg']",ticket,office,,,office.n.01
tollbooth,tollbooth,"['tollbooth2.jpg', 'tollbooth3.jpg', 'tollbooth5.jpg', 'tollbooth8.jpg']",,tollbooth,,,tollbooth.n.01
track,track,"['track.jpg', 'track2.jpg', 'track3.jpg', 'track5.jpg']",,track,outdoor,,racetrack.n.01
train_station,trainStation,"['trainStation1.jpg', 'trainStation3.jpg', 'trainStation4.jpg', 'trainStation5.jpg']",,train_station,,,railway_station.n.01
tree+house,treehouse,"['treehouse.jpg', 'treehouse2.jpg', 'treehouse4.jpg', 'treehouse5.jpg']",,tree_house,,,tree_house.n.01
tv_studio_indoor,tvstudio,"['tvstudio1.jpg', 'tvstudio2.jpg', 'tvstudio3.jpg', 'tvstudio4.jpg']",tv,studio,,,studio.n.01
van_interior,van_interior,"['van_interior2.jpg', 'van_interior4.jpg', 'van_interior5.jpg', 'van_interior6.jpg']",,van,,,van.n.05
vineyard,wineVineyard,"['wineVineyard2.jpg', 'wineVineyard7.jpg', 'wineVineyard8.jpg', 'wineVineyard9.jpg']",,vineyard,,,vineyard.n.01
volleyball_court,volleyballcourt,"['volleyballcourt.jpg', 'volleyballcourt3.jpg', 'volleyballcourt4.jpg', 'volleyballcourt7.jpg']",,volleyball_court,,,volleyball_court.n.01
waiting_room,waitingroom,"['waitingroom1.jpg', 'waitingroom2.jpg', 'waitingroom3.jpg', 'waitingroom4.jpg']",,waiting_room,,,lounge.n.02
warehouse,warehouse,"['warehouse1.jpg', 'warehouse2.jpg', 'warehouse3.jpg', 'warehouse4.jpg', 'warehouseoutside1.jpg', 'warehouseoutside2.jpg', 'warehouseoutside3.jpg', 'warehouseoutside4.jpg']",,warehouse,,,warehouse.n.01
warehouse_outdoor,warehouseoutside,"['warehouseoutside1.jpg', 'warehouseoutside2.jpg', 'warehouseoutside3.jpg', 'warehouseoutside4.jpg']",,warehouse,,,warehouse.n.01
waterfall_outdoor,waterfall_outdoor,"['waterfall_outdoor11.jpg', 'waterfall_outdoor4.jpg', 'waterfall_outdoor6.jpg', 'waterfall_outdoor9.jpg']",,waterfall,,,waterfall.n.01
weight_room_indoor,weightroom,"['weightroom.jpg', 'weightroom4.jpg', 'weightroom5.jpg', 'weightroom6.jpg']",weight,room,,,room.n.01
windmill,windmill,"['windmill1.jpg', 'windmill2.jpg', 'windmill3.jpg', 'windmill4.jpeg']",,windmill,outdoor,,windmill.n.01
wine_barrel,winebarrel,"['winebarrel1.jpg', 'winebarrel2.jpg', 'winebarrel3.jpg', 'winebarrel4.jpg']",,wine_barrel,,,wine_cask.n.01
wrestling_ring,wrestlingring,"['wrestlingring.jpg', 'wrestlingring6.jpg', 'wrestlingring7.jpg', 'wrestlingring8.jpg']",,wrestling_ring,,,wrestling_ring.n.01
yoga_studio_indoor,yogastudio,"['yogastudio1.jpg', 'yogastudio2.jpg', 'yogastudio3.jpg', 'yogastudio4.jpg']",yoga,studio,,,studio.n.01
